奥拓	ao4 tuo4
比谁	bi3 shei2
变长	bian4 chang2
不调	bu4 tiao2
不还	bu4 hai2
不还	bu4 huan2
不似	bu4 si4
藏民	zang4 min2
藏区	zang4 qu1
曾哥	zeng1 ge1
差旅	chai4 lv3
掺杂	chan4 za2
长传	chang2 chuan2
长电	chang2 dian4
长风	chang2 feng1
长焦	chang2 jiao1
长今	chang2 jin1
长宽	chang2 kuan1
长腿	chang2 tui3
长约	chang2 yue1
超长	chao1 chang2
仇和	qiu2 he2
大佛	da4 fo2
得去	dei3 qu4
得先	dei3 xian1
得有	dei3 you3
等地	deng3 di4
翟凌	zhai2 ling2
地被	di4 bei4
地里	di4 li3	35%
地里	di4 li	65%
地暖	di4 nuan3
调成	tiao2 cheng2
调低	tiao2 di1
调高	tiao2 gao1
调好	tiao2 hao3
调至	tiao2 zhi4
对谁	dui4 shei2
多长	duo1 chang2
该行	gai1 hang2
港行	gang3 hang2
格栅	ge2 shan1
给谁	gei3 shei2
跟谁	gen1 shei2
更长	geng4 chang2
跪地	gui4 di4
还你	huan2 ni3
行数	hang2 shu4
好长	hao3 chang2
好地	hao3 di4
好觉	hao3 jiao4
何地	he2 di4
和谁	he2 shei2
很长	hen3 chang2
几行	ji3 hang2
较长	jiao4 chang2
金地	jin1 di4
进藏	jin4 zang4
靓颖	liang4 ying3
靓照	liang4 zhao4
觉觉	jiao4 jiao4
觉觉	jue2 jue2
神乐坂	shen2 yue4 ban3
卡勒	ka3 le4
凯勒	kai3 le4
看谁	kan4 shei2
跨行	kua4 hang2
懒觉	lan3 jiao4
勒夫	le4 fu1
离地	li2 di4
联调	lian2 tiao2
两行	liang3 hang2
率达	shuai4 da2
满地	man3 di4
每行	mei3 hang2
米勒	mi3 le4
南都	nan2 du1
嗯啊	en3 a
嗯嗯	en3 en3
粘度	nian2 du4
粘膜	nian2 mo2
粘性	nian2 xing4
曝出	bao4 chu1
去呢	qu4 ne
热轧	re4 zha2
人行	ren2 xing2	25%
人行	ren2 hang2	75%
儒勒	ru2 le4
三地	san1 di4
厦大	xia4 da4
厦华	xia4 hua2
上地	shang4 di4
谁啊	shei2 a
谁不	shei2 bu4
谁敢	shei2 gan3
谁还	shei2 hai2
谁叫	shei2 jiao4
谁呢	shei2 ne
谁去	shei2 qu4
谁谁	shei2 shei2
谁先	shei2 xian1
谁呀	shei2 ya
谁在	shei2 zai4
似火	si4 huo3
似是	si4 shi4
似水	si4 shui3
似有	si4 you3
太长	tai4 chang2
太行	tai4 hang2
投行	tou2 hang2
为谁	wei4 shei2
我行	wo3 hang2
性都	xing4 du1
学佛	xue2 fo2
雪地	xue3 di4
雅靓	ya3 liang4
一长	yi1 chang2
一幢	yi1 zhuang4
一地	yi1 di4
由谁	you2 shei2
越长	yue4 chang2
找谁	zhao3 shei2
这行	zhe4 hang2
之长	zhi1 zhang3
之地	zhi1 di4
之都	zhi1 du1
置地	zhi4 di4
诸佛	zhu1 fo2
自曝	zi4 bao4
最长	zui4 chang2
不便宜	bu4 pian2 yi
不了了	bu4 liao3 le
曾道人	zeng1 dao4 ren2
曾轶可	zeng1 yi4 ke3
曾志伟	zeng1 zhi4 wei3
长时间	chang2 shi2 jian1
长头发	zhang3 tou2 fa4	50%
长头发	chang2 tou2 fa4	50%
到底谁	dao4 di3 shei2
地不怕	di4 bu4 pa4
第一行	di4 yi1 hang2
归属地	gui1 shu3 di4
过不了	guo4 bu4 liao4
还有谁	hai2 you3 shei2
聚集地	ju4 ji2 di4
开户行	kai1 hu4 hang2
哪个好	na3 ge4 hao3
哪些人	na3 xie1 ren2
那些人	na4 xie1 ren2
拍卖行	pai1 mai4 hang2
潘玮柏	pan1 wei3 bo2
浅浅的	qian3 qian3 de
人是谁	ren2 shi4 shei2
时间长	shi2 jian1 chang2
是谁在	shi4 shei2 zai4
谁都会	shei2 dou1 hui4
谁叫你	shei2 jiao4 ni3
谁让你	shei2 rang4 ni3
谁是谁	shei2 shi4 shei2
谁也不	shei2 ye3 bu4
苏泊尔	su1 bo2 er3
所所长	suo3 suo3 zhang3
弹出来	tan2 chu1 lai2
弹钢琴	tan2 gang1 qin2
我是谁	wo3 shi4 shei2
下不了	xia4 bu4 liao3
小布什	xiao3 bu4 shi2
新华都	xin1 hua2 du1
有多长	you3 duo1 chang2
月氏人	yue4 zhi1 ren2
张朝阳	zhang1 chao2 yang2
重命名	chong2 ming4 ming2
重重地	zhong2 zhong2 de
最长的	zui4 chang2 de
闭着眼睛	bi4 zhe yan3 jing1
布什总统	bu4 shi2 zong3 tong3
长效机制	chang2 xiao4 ji1 zhi4
到底是谁	dao4 di3 shi4 shei2
多长时间	duo1 chang2 shi2 jian1
佛塑股份	fo2 su4 gu3 fen4
各大城市	ge4 da4 cheng2 shi4
还珠格格	hai2 zhu1 ge2 ge
很长时间	hen3 chang2 shi2 jian1
哪个地方	na3 ge4 di4 fang1
哪个国家	na3 ge4 guo2 jia1
哪些地方	na3 xie1 di4 fang1
哪些方面	na3 xie1 fang1 mian4
情感天地	qing2 gan3 tian1 di4
时间最长	shi2 jian1 zui4 chang2
弹出窗口	tan2 chu1 chuang1 kou3
弹出一个	tan2 chu1 yi1 ge4
下自成蹊	xia4 zi4 cheng2 xi1
有谁知道	you3 shei2 zhi1 dao4
重装系统	chong2 zhuang1 xi4 tong3
艾尔米塔什	ai4 er3 mi3 ta3 shi2
布加勒斯特	bu4 jia1 le4 si1 te4
